semantic,subtype,direction,boundary,checks_total,checks_valid,prompt_seed_total,success_rate,paired_delta,baseline_correct_checks,retention,count_target_mae
spatial_relation,above_below,prefix,10,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,11,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,12,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,13,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,0,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,1,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,2,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,3,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,4,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,5,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,suffix,6,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,7,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,8,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,9,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,10,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,11,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,12,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,suffix,13,10,10,10,0.2,0.0,2,1.0,
spatial_relation,all,prefix,0,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,prefix,1,50,50,50,0.4,-0.06,23,0.7391304347826086,
spatial_relation,all,prefix,2,50,50,50,0.44,-0.02,23,0.8260869565217391,
spatial_relation,all,prefix,3,50,50,50,0.3,-0.16,23,0.4782608695652174,
spatial_relation,all,prefix,4,50,50,50,0.26,-0.2,23,0.4782608695652174,
spatial_relation,all,prefix,5,50,50,50,0.24,-0.22,23,0.43478260869565216,
spatial_relation,all,prefix,6,50,50,50,0.26,-0.2,23,0.43478260869565216,
spatial_relation,all,prefix,7,50,50,50,0.26,-0.2,23,0.4782608695652174,
spatial_relation,all,prefix,8,50,50,50,0.28,-0.18,23,0.4782608695652174,
spatial_relation,all,prefix,9,50,50,50,0.22,-0.24,23,0.43478260869565216,
spatial_relation,all,prefix,10,50,50,50,0.24,-0.22,23,0.43478260869565216,
spatial_relation,all,prefix,11,50,50,50,0.28,-0.18,23,0.4782608695652174,
spatial_relation,all,prefix,12,50,50,50,0.26,-0.2,23,0.43478260869565216,
spatial_relation,all,prefix,13,50,50,50,0.26,-0.2,23,0.4782608695652174,
spatial_relation,all,suffix,0,50,50,50,0.26,-0.2,23,0.4782608695652174,
spatial_relation,all,suffix,1,50,50,50,0.3,-0.16,23,0.6086956521739131,
spatial_relation,all,suffix,2,50,50,50,0.28,-0.18,23,0.6086956521739131,
spatial_relation,all,suffix,3,50,50,50,0.42,-0.04,23,0.8695652173913043,
spatial_relation,all,suffix,4,50,50,50,0.42,-0.04,23,0.9130434782608695,
spatial_relation,all,suffix,5,50,50,50,0.44,-0.02,23,0.9565217391304348,
spatial_relation,all,suffix,6,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,7,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,8,50,50,50,0.44,-0.02,23,0.9565217391304348,
spatial_relation,all,suffix,9,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,10,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,11,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,12,50,50,50,0.46,0.0,23,1.0,
spatial_relation,all,suffix,13,50,50,50,0.46,0.0,23,1.0,
spatial_relation,containment,prefix,0,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,prefix,1,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,prefix,2,10,10,10,0.6,0.1,5,1.0,
spatial_relation,containment,prefix,3,10,10,10,0.5,0.0,5,0.8,
spatial_relation,containment,prefix,4,10,10,10,0.5,0.0,5,0.8,
spatial_relation,containment,prefix,5,10,10,10,0.4,-0.1,5,0.6,
spatial_relation,containment,prefix,6,10,10,10,0.5,0.0,5,0.6,
spatial_relation,containment,prefix,7,10,10,10,0.4,-0.1,5,0.6,
spatial_relation,containment,prefix,8,10,10,10,0.5,0.0,5,0.6,
spatial_relation,containment,prefix,9,10,10,10,0.3,-0.2,5,0.6,
spatial_relation,containment,prefix,10,10,10,10,0.4,-0.1,5,0.6,
spatial_relation,containment,prefix,11,10,10,10,0.5,0.0,5,0.6,
spatial_relation,containment,prefix,12,10,10,10,0.5,0.0,5,0.6,
spatial_relation,containment,prefix,13,10,10,10,0.4,-0.1,5,0.6,
spatial_relation,containment,suffix,0,10,10,10,0.4,-0.1,5,0.6,
spatial_relation,containment,suffix,1,10,10,10,0.4,-0.1,5,0.8,
spatial_relation,containment,suffix,2,10,10,10,0.4,-0.1,5,0.8,
spatial_relation,containment,suffix,3,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,4,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,5,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,6,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,7,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,8,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,9,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,10,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,11,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,12,10,10,10,0.5,0.0,5,1.0,
spatial_relation,containment,suffix,13,10,10,10,0.5,0.0,5,1.0,
spatial_relation,front_behind,prefix,0,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,prefix,1,10,10,10,0.3,-0.1,4,0.75,
spatial_relation,front_behind,prefix,2,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,prefix,3,10,10,10,0.3,-0.1,4,0.5,
spatial_relation,front_behind,prefix,4,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,5,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,6,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,7,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,8,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,9,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,10,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,11,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,12,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,prefix,13,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,suffix,0,10,10,10,0.2,-0.2,4,0.5,
spatial_relation,front_behind,suffix,1,10,10,10,0.3,-0.1,4,0.75,
spatial_relation,front_behind,suffix,2,10,10,10,0.3,-0.1,4,0.75,
spatial_relation,front_behind,suffix,3,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,4,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,5,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,6,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,7,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,8,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,9,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,10,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,11,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,12,10,10,10,0.4,0.0,4,1.0,
spatial_relation,front_behind,suffix,13,10,10,10,0.4,0.0,4,1.0,
spatial_relation,left_right,prefix,0,20,20,20,0.6,0.0,12,1.0,
spatial_relation,left_right,prefix,1,20,20,20,0.45,-0.15,12,0.5833333333333334,
spatial_relation,left_right,prefix,2,20,20,20,0.55,-0.05,12,0.75,
spatial_relation,left_right,prefix,3,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,4,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,5,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,6,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,7,20,20,20,0.3,-0.3,12,0.4166666666666667,
spatial_relation,left_right,prefix,8,20,20,20,0.3,-0.3,12,0.4166666666666667,
spatial_relation,left_right,prefix,9,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,10,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,11,20,20,20,0.3,-0.3,12,0.4166666666666667,
spatial_relation,left_right,prefix,12,20,20,20,0.25,-0.35,12,0.3333333333333333,
spatial_relation,left_right,prefix,13,20,20,20,0.3,-0.3,12,0.4166666666666667,
spatial_relation,left_right,suffix,0,20,20,20,0.3,-0.3,12,0.4166666666666667,
spatial_relation,left_right,suffix,1,20,20,20,0.35,-0.25,12,0.5,
spatial_relation,left_right,suffix,2,20,20,20,0.3,-0.3,12,0.5,
spatial_relation,left_right,suffix,3,20,20,20,0.55,-0.05,12,0.8333333333333334,
spatial_relation,left_right,suffix,4,20,20,20,0.55,-0.05,12,0.9166666666666666,
